_id,RSN,YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,EVALUATION_COMPLETED_ON,SCORE,RESULTS_OF_SCORE,NO_OF_AREAS_EVALUATED,ENTRANCE_LOBBY,ENTRANCE_DOORS_WINDOWS,SECURITY,STAIRWELLS,LAUNDRY_ROOMS,INTERNAL_GUARDS_HANDRAILS,GARBAGE_CHUTE_ROOMS,GARBAGE_BIN_STORAGE_AREA,ELEVATORS,STORAGE_AREAS_LOCKERS,INTERIOR_WALL_CEILING_FLOOR,INTERIOR_LIGHTING_LEVELS,GRAFFITI,EXTERIOR_CLADDING,EXTERIOR_GROUNDS,EXTERIOR_WALKWAYS,BALCONY_GUARDS,WATER_PEN_EXT_BLDG_ELEMENTS,PARKING_AREA,OTHER_FACILITIES,GRID,LATITUDE,LONGITUDE,X,Y
818941,4152740,2017.0,2020,1965.0,PRIVATE,24,Scarborough-Guildwood,555 BRIMORTON DR,15,180,2020-11-23,82,Evaluation needs to be conducted in 2 years,19,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,E2425,43.7728909718,-79.231398356,326407.892,4847915.281
818942,4154302,2017.0,2020,1960.0,PRIVATE,5,York South-Weston,2 ARROWSMITH AVE,3,11,2020-11-23,61,Evaluation needs to be conducted in 1 year,15,2.0,3.0,3.0,3.0,3.0,3.0,,3.0,,,2.0,3.0,5.0,3.0,3.0,3.0,,4.0,3.0,,W0529,43.7044245269,-79.4774946495,306598.318,4840274.3780000005
818943,4155542,2017.0,2020,1957.0,PRIVATE,3,Etobicoke-Lakeshore,44 ARCADIAN CRCL,3,13,2020-11-23,84,Evaluation needs to be conducted in 2 years,16,4.0,4.0,5.0,4.0,3.0,5.0,,4.0,,3.0,4.0,4.0,5.0,4.0,4.0,5.0,,4.0,5.0,,W0334,43.593328004600004,-79.5267034096,302628.294,4827932.2639999995
818944,4154014,2017.0,2020,1950.0,PRIVATE,8,Eglinton-Lawrence,20 ROSELAWN AVE,3,12,2020-11-23,74,Evaluation needs to be conducted in 2 years,16,3.0,4.0,4.0,4.0,3.0,4.0,,3.0,,4.0,4.0,4.0,5.0,4.0,3.0,3.0,,4.0,3.0,,N0833,43.711067487,-79.40004192859999,312839.782,4841017.038
818945,4155438,2017.0,2020,1950.0,PRIVATE,1,Etobicoke North,2366 ISLINGTON AVE,3,16,2020-11-23,80,Evaluation needs to be conducted in 2 years,16,4.0,4.0,4.0,4.0,4.0,3.0,,4.0,,,4.0,3.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,,W0130,43.7196647917,-79.5577092738,300134.561,4841968.994
818946,4154015,2017.0,2020,1955.0,PRIVATE,8,Eglinton-Lawrence,80 CASTLEFIELD AVE,3,17,2020-11-23,77,Evaluation needs to be conducted in 2 years,15,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,,,3.0,4.0,5.0,3.0,4.0,3.0,,4.0,4.0,,N0833,43.7112480304,-79.403629987,312550.619,4841036.746
818947,4506245,,2020,1955.0,PRIVATE,3,Etobicoke-Lakeshore,9 BIRCHLEA AVE,3,13,2020-11-23,73,Evaluation needs to be conducted in 2 years,15,3.0,4.0,5.0,3.0,3.0,3.0,,3.0,,,3.0,3.0,5.0,4.0,4.0,4.0,,4.0,4.0,,W0334,43.592594591,-79.52818256,302515.24100000004,4827853.339
818948,4506270,,2020,1955.0,PRIVATE,3,Etobicoke-Lakeshore,11 BIRCHLEA AVE,3,13,2020-11-23,73,Evaluation needs to be conducted in 2 years,15,3.0,4.0,5.0,3.0,3.0,3.0,,3.0,,,3.0,3.0,5.0,4.0,4.0,4.0,,4.0,4.0,,W0334,43.592573631,-79.528276577,302501.80199999997,4827845.661
818949,4155544,2017.0,2020,1950.0,PRIVATE,3,Etobicoke-Lakeshore,13 BIRCHLEA AVE,3,14,2020-11-23,81,Evaluation needs to be conducted in 2 years,15,3.0,4.0,5.0,4.0,4.0,4.0,,4.0,,,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,4.0,,W0334,43.59254528100001,-79.528407015,302488.51,4827835.76
818950,4153953,2017.0,2020,1961.0,PRIVATE,8,Eglinton-Lawrence,650 EGLINTON AVE W,8,102,2020-11-23,85,Evaluation needs to be conducted in 2 years,19,5.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,,N0832,43.702630066400005,-79.4192210423,311295.136,4840077.96
818951,4153186,2017.0,2020,1958.0,PRIVATE,11,University-Rosedale,50 WALMER RD,4,35,2020-11-23,72,Evaluation needs to be conducted in 2 years,17,4.0,3.0,4.0,3.0,4.0,3.0,,3.0,4.0,4.0,4.0,4.0,5.0,3.0,3.0,3.0,,3.0,4.0,,S1126,43.669364101000006,-79.407141875,312272.44399999996,4836384.134
818952,4155543,2017.0,2020,1950.0,PRIVATE,3,Etobicoke-Lakeshore,15 BIRCHLEA AVE,3,14,2020-11-23,80,Evaluation needs to be conducted in 2 years,15,3.0,4.0,5.0,4.0,4.0,4.0,,4.0,,,4.0,4.0,5.0,4.0,4.0,3.0,,4.0,4.0,,W0334,43.592527408,-79.528501876,302478.048,4827838.18
818953,4155422,2017.0,2020,1955.0,PRIVATE,1,Etobicoke North,75 IRWIN RD,6,53,2020-11-22,67,Evaluation needs to be conducted in 2 years,17,3.0,3.0,4.0,4.0,4.0,3.0,,3.0,5.0,,4.0,3.0,5.0,3.0,3.0,3.0,2.0,2.0,3.0,,W0131,43.7249788623,-79.5580297876,300109.16,4842559.379
818954,4155427,2017.0,2020,1963.0,PRIVATE,1,Etobicoke North,25 JANSUSIE RD,3,45,2020-11-22,73,Evaluation needs to be conducted in 2 years,17,4.0,4.0,4.0,3.0,4.0,3.0,,3.0,,2.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,,W0129,43.730245049,-79.57627802100001,298653.212,4843046.808
818955,4155562,2017.0,2020,1971.0,TCHC,20,Scarborough Southwest,40 TEESDALE PL,24,278,2020-11-21,72,Evaluation needs to be conducted in 2 years,19,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,,3.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,E2028,43.6972076653,-79.2864410678,321998.393,4839494.37
818956,4154875,2017.0,2020,1960.0,PRIVATE,16,Don Valley East,1 ECCLESTON DR,4,62,2020-11-21,92,Evaluation needs to be conducted in 3 years,19,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,,N1628,43.727010393,-79.3140806139,319763.103,4842800.045
818957,4153669,2017.0,2020,1920.0,PRIVATE,19,Beaches-East York,2451 QUEEN ST E,4,29,2020-11-20,73,Evaluation needs to be conducted in 2 years,14,3.0,4.0,4.0,4.0,4.0,4.0,,4.0,,,3.0,3.0,4.0,3.0,3.0,4.0,,4.0,,,S1942,43.6731276017,-79.28409669439999,322194.262,4836819.675
818958,4153670,2017.0,2020,1920.0,PRIVATE,19,Beaches-East York,2453 QUEEN ST E,4,16,2020-11-20,72,Evaluation needs to be conducted in 2 years,13,3.0,4.0,4.0,4.0,,3.0,,4.0,,,4.0,3.0,4.0,3.0,3.0,4.0,,4.0,,,S1942,43.6731843525,-79.2839314584,322207.57,4836826.0139999995
818959,4153053,2017.0,2020,1960.0,PRIVATE,4,Parkdale-High Park,470 RONCESVALLES AVE,4,39,2020-11-20,78,Evaluation needs to be conducted in 2 years,16,4.0,4.0,5.0,4.0,3.0,4.0,,3.0,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,,S0432,43.653028589399995,-79.4519252195,308662.363,4834565.429
818960,4153664,2017.0,2020,1927.0,PRIVATE,19,Beaches-East York,2269 QUEEN ST E,3,17,2020-11-20,70,Evaluation needs to be conducted in 2 years,14,4.0,4.0,3.0,4.0,3.0,4.0,,3.0,,,4.0,3.0,4.0,3.0,4.0,3.0,,3.0,,,S1942,43.6712526429,-79.293268236,321455.209,4836609.522
818961,4250634,2018.0,2020,1925.0,PRIVATE,19,Beaches-East York,2367 QUEEN ST E,3,24,2020-11-20,70,Evaluation needs to be conducted in 2 years,16,3.0,4.0,4.0,3.0,4.0,4.0,,3.0,,4.0,3.0,4.0,4.0,3.0,3.0,4.0,,3.0,3.0,,S1942,43.6721682166,-79.2883005888,321855.542,4836712.225
818962,4153666,2017.0,2020,1930.0,PRIVATE,19,Beaches-East York,2373 QUEEN ST E,3,27,2020-11-20,70,Evaluation needs to be conducted in 2 years,16,3.0,4.0,4.0,3.0,4.0,4.0,,3.0,,4.0,3.0,4.0,4.0,3.0,3.0,4.0,,3.0,3.0,,S1942,43.6723206085,-79.2877515365,321899.772,4836729.268999999
818963,4155200,2017.0,2020,1950.0,SOCIAL HOUSING,4,Parkdale-High Park,495 RIVERSIDE DR,3,25,2020-11-20,81,Evaluation needs to be conducted in 2 years,16,4.0,3.0,5.0,4.0,3.0,4.0,,4.0,,4.0,4.0,4.0,5.0,4.0,4.0,5.0,,4.0,4.0,,S0425,43.6481742891,-79.4902420295,305571.54,4834025.1389999995
818964,4154824,2017.0,2020,1969.0,PRIVATE,17,Don Valley North,1650 SHEPPARD AVE E,15,149,2020-11-20,88,Evaluation needs to be conducted in 3 years,20,5.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,2.0,3.0,N1727,43.775121294099996,-79.3490805112,316933.665,4848139.196
818965,4153059,2017.0,2020,1935.0,PRIVATE,4,Parkdale-High Park,34 NOBLE ST,3,18,2020-11-20,75,Evaluation needs to be conducted in 2 years,15,4.0,4.0,5.0,4.0,3.0,3.0,,3.0,,,3.0,4.0,4.0,4.0,4.0,4.0,,4.0,3.0,,S0435,43.6428677432,-79.431388625,310319.87100000004,4833437.692
818966,4155038,2017.0,2020,1968.0,PRIVATE,12,Toronto-St. Paul's,633 NORTHCLIFFE BLVD,11,86,2020-11-20,73,Evaluation needs to be conducted in 2 years,18,3.0,4.0,5.0,3.0,3.0,3.0,,4.0,4.0,4.0,3.0,3.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,,S1222,43.695129788,-79.4469525657,309060.50399999996,4839242.877
818967,4153531,2017.0,2020,1975.0,PRIVATE,13,Toronto Centre,33 ISABELLA ST,27,419,2020-11-20,74,Evaluation needs to be conducted in 2 years,19,3.0,4.0,5.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,,S1322,43.667643942,-79.383679432,314164.83,4836195.449
818968,4153533,2017.0,2020,1963.0,PRIVATE,13,Toronto Centre,59 ISABELLA ST,14,101,2020-11-20,81,Evaluation needs to be conducted in 2 years,19,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,,S1322,43.667962528000004,-79.382564773,314254.674,4836230.967
818969,4154802,2017.0,2020,1970.0,PRIVATE,16,Don Valley East,50 GRAYDON HALL DR,20,304,2020-11-20,84,Evaluation needs to be conducted in 2 years,19,4.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,,N1621,43.764613327,-79.345774526,317201.725,4846973.244
818970,4154805,2017.0,2020,1970.0,PRIVATE,16,Don Valley East,100 GRAYDON HALL DR,24,286,2020-11-20,85,Evaluation needs to be conducted in 2 years,19,4.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,3.0,,N1621,43.7654302303,-79.3443358391,317317.648,4847063.257
818971,4154804,2017.0,2020,1970.0,PRIVATE,16,Don Valley East,150 GRAYDON HALL DR,25,298,2020-11-20,89,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,4.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,,N1621,43.7656767876,-79.34282796560001,317438.988,4847090.877
818972,4155060,2017.0,2020,1960.0,PRIVATE,8,Eglinton-Lawrence,178 LOCKSLEY AVE,3,24,2020-11-20,80,Evaluation needs to be conducted in 2 years,16,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,N0831,43.7023837133,-79.4491090339,308886.201,4840048.632
818973,4153545,2017.0,2020,1917.0,PRIVATE,13,Toronto Centre,96 ISABELLA ST,4,28,2020-11-20,74,Evaluation needs to be conducted in 2 years,14,4.0,4.0,3.0,4.0,4.0,4.0,,3.0,,,4.0,3.0,5.0,4.0,3.0,4.0,,3.0,,,S1322,43.6689634555,-79.38048370930001,314422.606,4836341.446
818974,4152589,2017.0,2020,1969.0,PRIVATE,20,Scarborough Southwest,10 MACEY AVE,16,255,2020-11-20,65,Evaluation needs to be conducted in 1 year,19,4.0,4.0,3.0,3.0,2.0,3.0,3.0,5.0,5.0,,3.0,2.0,2.0,4.0,2.0,3.0,4.0,4.0,3.0,3.0,E2028,43.6922807906,-79.2871199966,321945.072,4838946.874
818975,4153007,2017.0,2020,1952.0,PRIVATE,4,Parkdale-High Park,1502 KING ST W,3,15,2020-11-20,61,Evaluation needs to be conducted in 1 year,14,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,,,3.0,3.0,3.0,3.0,3.0,3.0,,4.0,,,S0436,43.636587848400005,-79.4403366563,309598.452,4832739.518
818976,4155051,2017.0,2020,1958.0,PRIVATE,8,Eglinton-Lawrence,131 LYON CRT,4,26,2020-11-20,79,Evaluation needs to be conducted in 2 years,17,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,N0831,43.7030805404,-79.44023175939999,309601.661,4840126.516
818977,4155310,2017.0,2020,1962.0,PRIVATE,2,Etobicoke Centre,307 THE KINGSWAY,3,26,2020-11-20,79,Evaluation needs to be conducted in 2 years,16,4.0,4.0,4.0,4.0,4.0,3.0,,3.0,,4.0,5.0,4.0,5.0,3.0,5.0,4.0,,4.0,3.0,,W0229,43.6646746732,-79.5222520533,302989.714,4835858.492
818978,4155322,,2020,1952.0,PRIVATE,2,Etobicoke Centre,308 THE KINGSWAY,4,34,2020-11-20,79,Evaluation needs to be conducted in 2 years,16,4.0,5.0,5.0,4.0,4.0,3.0,,3.0,,4.0,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,2.0,,W0229,43.6641680509,-79.5231261637,302919.2,4835802.228999999
818979,4155056,2017.0,2020,1959.0,PRIVATE,8,Eglinton-Lawrence,1050 CASTLEFIELD AVE,5,64,2020-11-20,79,Evaluation needs to be conducted in 2 years,18,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,N0831,43.7010927419,-79.4506862658,308759.154,4839905.141
818980,4152608,2017.0,2020,1950.0,PRIVATE,20,Scarborough Southwest,650 DAWES RD,3,17,2020-11-20,74,Evaluation needs to be conducted in 2 years,14,3.0,3.0,4.0,3.0,3.0,3.0,,5.0,,,3.0,3.0,5.0,4.0,4.0,5.0,,4.0,,,E2028,43.7075426167,-79.2947631998,321324.76,4840640.89
818981,4152593,2017.0,2020,1982.0,PRIVATE,20,Scarborough Southwest,30 BURN HILL RD,22,238,2020-11-20,81,Evaluation needs to be conducted in 2 years,19,4.0,5.0,4.0,4.0,3.0,5.0,4.0,5.0,4.0,,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,E2028,43.6992222546,-79.2778348112,322691.471,4839719.991
818982,4155054,2017.0,2020,1956.0,PRIVATE,8,Eglinton-Lawrence,1030 CASTLEFIELD AVE,5,56,2020-11-20,79,Evaluation needs to be conducted in 2 years,17,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,N0831,43.7009672272,-79.4495637221,308849.641,4839891.251
818983,4155055,2017.0,2020,1959.0,PRIVATE,8,Eglinton-Lawrence,1040 CASTLEFIELD AVE,4,44,2020-11-20,80,Evaluation needs to be conducted in 2 years,16,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,,N0831,43.7010486833,-79.4499999014,308814.479,4839900.279
818984,4153668,2017.0,2020,1920.0,PRIVATE,19,Beaches-East York,2449 QUEEN ST E,4,29,2020-11-20,76,Evaluation needs to be conducted in 2 years,14,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,,,4.0,3.0,4.0,3.0,3.0,4.0,,4.0,,,S1942,43.6730490225,-79.2843149122,322176.688,4836810.9
818985,4155180,2017.0,2020,1964.0,PRIVATE,5,York South-Weston,777 JANE ST,9,106,2020-11-19,72,Evaluation needs to be conducted in 2 years,18,3.0,4.0,5.0,4.0,3.0,4.0,3.0,4.0,4.0,,3.0,4.0,4.0,3.0,4.0,4.0,3.0,3.0,3.0,,W0539,43.6730591704,-79.4935959279,305300.77,4836789.64
818986,4152597,2017.0,2020,1970.0,PRIVATE,20,Scarborough Southwest,20 TEESDALE PL,24,284,2020-11-19,82,Evaluation needs to be conducted in 2 years,19,4.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,4.0,,E2028,43.6959726218,-79.2874840709,321914.674,4839356.947
818987,4154079,2018.0,2020,1962.0,PRIVATE,19,Beaches-East York,327 CHISHOLM AVE,4,20,2020-11-19,78,Evaluation needs to be conducted in 2 years,17,4.0,4.0,4.0,4.0,4.0,4.0,,3.0,,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,,S1926,43.6971816506,-79.30644386430001,320386.05199999997,4839487.593
818988,4152585,2017.0,2020,1960.0,PRIVATE,20,Scarborough Southwest,20 PELL ST,3,11,2020-11-19,68,Evaluation needs to be conducted in 2 years,15,3.0,3.0,4.0,3.0,3.0,3.0,,5.0,,,3.0,4.0,5.0,3.0,3.0,2.0,,4.0,3.0,,E2035,43.70777445,-79.248713747,325033.789,4840699.303
818989,4155290,2017.0,2020,1958.0,PRIVATE,3,Etobicoke-Lakeshore,33 RIVERWOOD PKWY,4,50,2020-11-19,83,Evaluation needs to be conducted in 2 years,18,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,W0327,43.640211934499995,-79.4896809434,305616.916,4833140.562
818990,4155272,2017.0,2020,1955.0,PRIVATE,3,Etobicoke-Lakeshore,34 RIVERWOOD PKWY,4,35,2020-11-19,84,Evaluation needs to be conducted in 2 years,16,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,,,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,W0327,43.6397937003,-79.4903246449,305564.983,4833094.093
818991,4156249,2017.0,2020,1960.0,PRIVATE,20,Scarborough Southwest,22 PELL ST,3,10,2020-11-19,69,Evaluation needs to be conducted in 2 years,15,3.0,3.0,4.0,3.0,3.0,3.0,,4.0,,,3.0,4.0,5.0,3.0,3.0,3.0,,4.0,4.0,,E2035,43.707978053999994,-79.248780872,325050.664,4840714.735
818992,4156048,2017.0,2020,1960.0,PRIVATE,20,Scarborough Southwest,24 PELL ST,3,11,2020-11-19,67,Evaluation needs to be conducted in 2 years,15,3.0,3.0,4.0,3.0,3.0,3.0,,4.0,,,3.0,4.0,5.0,3.0,3.0,2.0,,4.0,3.0,,E2035,43.708100911,-79.248499263,325056.88300000003,4840728.7469999995
818993,4154864,2017.0,2020,1955.0,PRIVATE,16,Don Valley East,2 BIGGIN CRT,4,77,2020-11-19,92,Evaluation needs to be conducted in 3 years,17,5.0,5.0,5.0,4.0,5.0,4.0,,5.0,4.0,,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,,N1628,43.72905505560001,-79.3049498934,320498.183,4843028.87
818994,4255639,2017.0,2020,1958.0,PRIVATE,6,York Centre,3892 BATHURST ST,4,29,2020-11-19,84,Evaluation needs to be conducted in 2 years,18,5.0,4.0,5.0,3.0,5.0,4.0,,4.0,5.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,5.0,4.0,3.0,,N0629,43.7434082463,-79.4360131728,309938.25899999996,4844606.96
818995,4255640,2017.0,2020,1958.0,PRIVATE,6,York Centre,3894 BATHURST ST,4,29,2020-11-19,89,Evaluation needs to be conducted in 3 years,18,5.0,4.0,5.0,4.0,5.0,4.0,,3.0,5.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,5.0,,N0629,43.743702668100006,-79.43607830170001,309932.99,4844639.666999999
818996,4154591,2017.0,2020,1958.0,PRIVATE,6,York Centre,3896 BATHURST ST,4,30,2020-11-19,86,Evaluation needs to be conducted in 3 years,18,5.0,4.0,5.0,4.0,5.0,4.0,,3.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,5.0,,N0629,43.7439610802,-79.4361472401,309927.417,4844668.373
818997,4154867,2017.0,2020,1955.0,PRIVATE,16,Don Valley East,3 BIGGIN CRT,4,55,2020-11-19,91,Evaluation needs to be conducted in 3 years,18,5.0,5.0,5.0,4.0,4.0,5.0,,4.0,4.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,,N1628,43.7282648735,-79.3058539405,320425.555,4842940.919
818998,4154866,2017.0,2020,1955.0,PRIVATE,16,Don Valley East,5 BIGGIN CRT,4,65,2020-11-19,93,Evaluation needs to be conducted in 3 years,19,5.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,,N1628,43.7279966031,-79.3068020912,320349.24,4842910.937
818999,4152941,2017.0,2020,1958.0,PRIVATE,4,Parkdale-High Park,205 KEELE ST,4,42,2020-11-19,72,Evaluation needs to be conducted in 2 years,17,4.0,4.0,5.0,4.0,3.0,3.0,,3.0,,3.0,4.0,4.0,5.0,3.0,3.0,3.0,3.0,4.0,3.0,,S0429,43.65971467560001,-79.4617878892,307866.434,4835307.806
819000,4155428,2017.0,2020,1963.0,PRIVATE,1,Etobicoke North,35 JANSUSIE RD,3,45,2020-11-19,73,Evaluation needs to be conducted in 2 years,17,4.0,4.0,4.0,3.0,4.0,3.0,,3.0,,2.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,,W0129,43.73108456,-79.576700252,298674.512,4842987.092
819001,4155492,2017.0,2020,1952.0,PRIVATE,3,Etobicoke-Lakeshore,2555 LAKE SHORE BLVD W,4,26,2020-11-19,80,Evaluation needs to be conducted in 2 years,15,4.0,4.0,5.0,4.0,4.0,3.0,,3.0,,,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,4.0,,W0336,43.609043237399995,-79.4898363283,305704.94399999996,4829683.294
819002,4155490,2017.0,2020,1952.0,PRIVATE,3,Etobicoke-Lakeshore,2559 LAKE SHORE BLVD W,4,26,2020-11-19,80,Evaluation needs to be conducted in 2 years,15,4.0,4.0,5.0,4.0,4.0,3.0,,3.0,,,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,4.0,,W0336,43.6090936183,-79.48861615060001,305607.776,4829677.695
819003,4155489,2017.0,2020,1952.0,PRIVATE,3,Etobicoke-Lakeshore,2561 LAKE SHORE BLVD W,4,14,2020-11-19,80,Evaluation needs to be conducted in 2 years,14,4.0,4.0,5.0,4.0,,3.0,,4.0,,,4.0,4.0,5.0,4.0,4.0,4.0,,4.0,3.0,,W0336,43.6088644692,-79.4900435258,305588.026,4829658.026000001
819004,4153065,2017.0,2020,1897.0,SOCIAL HOUSING,4,Parkdale-High Park,10 LANSDOWNE AVE,3,21,2020-11-19,73,Evaluation needs to be conducted in 2 years,15,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,,,4.0,4.0,2.0,2.0,4.0,4.0,,3.0,,,S0435,43.6410463174,-79.4371700849,309853.582,4833234.996
819005,4152812,2017.0,2020,1995.0,SOCIAL HOUSING,24,Scarborough-Guildwood,525 MARKHAM RD,8,115,2020-11-19,81,Evaluation needs to be conducted in 2 years,19,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,E2430,43.756754208000004,-79.223973575,327027.68100000004,4846037.557
819006,4156583,2017.0,2020,1968.0,PRIVATE,2,Etobicoke Centre,60 CALLOWHILL DR,12,141,2020-11-19,74,Evaluation needs to be conducted in 2 years,19,4.0,4.0,5.0,3.0,4.0,4.0,4.0,2.0,3.0,2.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,5.0,3.0,,W0221,43.682156045,-79.5643051616,299650.165,4837805.9
819007,4154506,2017.0,2020,1956.0,PRIVATE,8,Eglinton-Lawrence,10 WASDALE CRES,3,10,2020-11-19,80,Evaluation needs to be conducted in 2 years,17,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,N0823,43.731194699300005,-79.4353275935,309994.519,4843250.185
819008,4152817,2017.0,2020,1963.0,PRIVATE,24,Scarborough-Guildwood,70 STEVENVALE DR,6,100,2020-11-19,80,Evaluation needs to be conducted in 2 years,19,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,3.0,,E2430,43.758941388800004,-79.2213676768,327220.55600000004,4846368.19
819009,4154859,2017.0,2020,1964.0,PRIVATE,16,Don Valley East,22 TINDER CRES,4,60,2020-11-19,86,Evaluation needs to be conducted in 3 years,18,5.0,5.0,5.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,,N1628,43.72645012979999,-79.3091895206,320157.292,4842738.692
819010,4155796,2017.0,2020,1976.0,PRIVATE,22,Scarborough-Agincourt,125 BONIS AVE,11,263,2020-11-19,89,Evaluation needs to be conducted in 3 years,19,4.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,,5.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,E2229,43.78385662,-79.294501805,321346.372,4849113.023
819011,4156720,2017.0,2020,1962.0,PRIVATE,2,Etobicoke Centre,327 DIXON RD,6,55,2020-11-19,74,Evaluation needs to be conducted in 2 years,17,4.0,4.0,4.0,4.0,4.0,4.0,,2.0,4.0,,3.0,4.0,5.0,3.0,5.0,5.0,2.0,3.0,3.0,,W0222,43.694646278,-79.55506382899999,300345.581,4839190.371
819012,4155365,2017.0,2020,1961.0,PRIVATE,2,Etobicoke Centre,333 DIXON RD,6,55,2020-11-19,78,Evaluation needs to be conducted in 2 years,18,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,2.0,3.0,4.0,5.0,4.0,4.0,5.0,3.0,3.0,5.0,,W0222,,,300298.13399999996,4839176.844
819013,4154037,2017.0,2020,1971.0,PRIVATE,19,Beaches-East York,7 CRESCENT PL,29,584,2020-11-19,72,Evaluation needs to be conducted in 2 years,18,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,,S1930,43.695055073999995,-79.291784761,321568.003,4839255.097
